smiles_canonical,ic50_nM,n_records,had_salt
Brc1ccc2nc(Nc3ccccc3)ncc2c1,5005.0,2,False
C=CCOCCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccc(OC)cc2C1,4.806,2,True
CC(=O)N1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,0.2,1,False
CC(=O)NC1CC(n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)OC(C)C1O,6.4,1,False
CC(=O)NC1CC(n2c3ccccc3c3c4c(c5c6cc(O)ccc6[nH]c5c32)CNC4=O)OC(C)C1O,50.0,1,False
CC(=O)NC1CC2OC(C)(C1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.77,1,False
CC(=O)NC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,0.2,1,False
CC(=O)N[C@@H]1C[C@H](n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O,6400.0,1,False
CC(=O)N[C@@H]1C[C@H](n2c3ccccc3c3c4c(c5c6cc(O)ccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O,50000.0,1,False
CC(=O)N[C@H]1C[C@H]2O[C@@](C)([C@@H]1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,770.0,1,False
CC(=O)Nc1ccc2c(c1)CN(c1cccc(-c3nncn3C3CC3)n1)C2=O,0.6,1,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cccc(N)c4)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,100.1,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cnn(C)c4)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(Br)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3ccccc3n2)c1,7.79,5,False
CC(=O)Nc1cccc(Nc2ncnc3[nH]cnc23)c1,10000.0,1,False
CC(=O)Nc1cccc(Nc2ncnc3nc[nH]c23)c1,10.0,1,False
CC(=O)Nc1cccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c12,120.17005,2,False
CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,15000.0,1,False
CC(=O)c1c2c3c(ccc(C)c3[nH]c1=O)C(=O)c1ccccc1-2,35000.0,1,False
CC(=O)c1cccc(-c2nc(NCc3ccccc3)c3ncn(Cc4ccc(C(F)(F)F)cc4)c3n2)c1,19.238,2,False
CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,650.0,1,False
CC(C(=O)O)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,0.495,2,False
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,5005.0,2,True
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,9.5095,2,False
CC(C)(C)C(=O)N(c1ccccc1)c1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,5005.0,2,False
CC(C)(C)C(=O)N(c1ccccc1)c1cccc(Nc2ncc3cc(Br)ccc3n2)c1,5005.0,2,False
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5005.0,2,False
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,10.0,1,False
CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,7.5075,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,41.041,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,10.5105,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cn[nH]c4)ccc3n2)cc1,3.15315,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,15.015,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,14.0,5,True
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Br)ccc3n2)cc1,10.5105,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(CO)ccc3n2)cc1,64.5645,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,8.008,2,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(F)ccc3n2)cc1,17.017,2,False
CC(C)(C)c1ccc(C2C(=C(O)c3ccc4c(c3)OCCO4)C(=O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,2.5,1,False
CC(C)(C)c1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,2500.0,1,False
CC(C)(CO)c1ccc(C(=O)Nc2cc3c(cn2)c(Cl)cn3C2CC2)cc1,16.0,1,False
CC(C)(CO)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,16.016,2,False
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5005.0,2,False
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5005.0,2,False
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CC3CC3)cn2)cc1,159.0,2,False
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CS(C)(=O)=O)cn2)cc1,12446.0,1,False
CC(C)(O)c1ccc(C(=O)Nc2cc3c(cn2)c(Br)cn3CC2CC2)cc1,32.5,2,False
CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,35.035,2,False
CC(C)CCOc1cccc(C2C(=C(O)c3ccc4c(c3)CC(C)O4)C(=O)C(=O)N2c2nc3ccc(F)cc3s2)c1,0.52,1,False
CC(C)CCOc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2c2nc3ccc(F)cc3s2)c1,520.0,1,False
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,0.55,1,False
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,1.0,1,False
CC(C)CNC(=O)c1ccc2c(c1)CC(c1nc3ncc(-c4ccnc(N)n4)cc3[nH]1)CO2,19.226,2,True
CC(C)NC(=O)c1cccc(NC(=O)Nc2ccc(-c3ccnc4[nH]ccc34)cc2)c1,19.226,2,True
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,0.055,1,False
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)ccc2nc1OC(C)C,0.055,1,False
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,1.0,1,False
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)CO)n3)c(F)cc2nc1OC(C)C,1.0,1,False
CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1,236.78655,2,False
CC(C)Oc1cc2c(cc1-c1cccnc1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2,0.2,1,False
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)C)n1)C2,0.03162,3,False
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)CO)n1)C2,0.005660999999999999,2,False
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2,5.012,1,False
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1OC(C)C,0.55,1,False
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1N(C)C(C)C,1.0,1,False
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1OC(C)C,1.0,1,False
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCCCC1,1.0,1,False
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCOCC1,0.55,1,False
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,393.0,1,False
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)n[nH]1,0.393,1,False
CC(C)n1c(-c2ccc(C(N)=O)cc2)nc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc21,20.048,2,False
CC(C)n1c(Nc2cccc(N(C)C)c2)nc2c(NC3CCN(Cc4ccccc4)CC3)ncnc21,18.795,2,False
CC(C)n1c(Nc2cccc(N(C)C)c2)nc2c(Nc3ccc(N4CCOCC4)cc3)ncnc21,7.851,2,False
CC(C)n1cc(-c2cc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c(=O)n(Cc3ccccc3F)c2)cn1,9.13,1,False
CC(C)n1cnc2c(NC3CC3)nc(N3CCN(c4ccccn4)CC3)nc21,19.781,2,False
CC(C)n1cnc2c(NC3CCN(Cc4ccccc4)CC3)nc(Nc3ccc(N4CCOCC4)cc3)nc21,7.877,2,False
CC(C)n1cnc2c(NC3CCN(Cc4ccccc4)CC3)nc(Nc3cccc(N(C)C)c3)nc21,17.962,2,False
CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc21,14.415000000000001,2,False
CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(Nc3ccc(N4CCOCC4)cc3)nc21,5.910500000000001,2,False
CC(C)n1cnc2c(Nc3ccc(N4CCOCC4)cc3)nc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc21,18.7135,2,False
CC(C)n1cnc2c(Nc3ccc(N4CCOCC4)cc3)nc(N3CCN(c4ccccn4)CC3)nc21,15.1455,2,False
CC(C)n1cnc2c(Nc3ccc(N4CCOCC4)cc3)nc(Nc3ccc(-n4ccnc4)cc3)nc21,19.056,2,False
CC(C)n1cnc2c(Nc3ccc(Oc4ccccc4)cc3)nc(N3CCOCC3)nc21,19.615000000000002,2,False
CC(C)n1cnc2c(Nc3ccc4c(c3)OCO4)nc(NCc3ccc4c(c3)OCO4)nc21,11.690999999999999,2,False
CC(C)n1cnc2c(Nc3ccc4c(c3)OCO4)nc(Nc3ccc(N4CCOCC4)cc3)nc21,20.006,2,False
CC(C)n1cnc2c(Nc3ccc4c(c3)OCO4)nc(Nc3cccc(N(C)C)c3)nc21,19.919,2,False
CC(C)n1cnc2c(Nc3ccccc3)nc(Nc3ccc(N4CCOCC4)cc3)nc21,18.377000000000002,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)cc(-n4cnc(C5CC5)c4)c3)c2c1,37.58755,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3ccc(N4CCOCC4)c(-n4cnc(C5CC5)c4)c3)c2c1,21.7165,4,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cccnc4)c3)c2c1,141.6415,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4ccnn4C)c3)c2c1,427.9275,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C)c4)c3)c2c1,35.9665,4,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C5CCOCC5)c4)c3)c2c1,31.082,4,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-n4cnc(C5CC5)c4)c3)c2c1,31.1311,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-n4cnc(C5CC5)n4)c3)c2c1,22.9385,4,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(C(=O)NC4CC4)c3)c2c1,135.6355,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(C(=O)Nc4cnn(C)c4)c3)c2c1,72.072,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(C(N)=O)c3)c2c1,37.137100000000004,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(NC(=O)c4ccc(C(F)(F)F)cc4)c3)c2c1,98.5985,2,False
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(S(C)(=O)=O)c3)c2c1,366.8665,2,False
CC(C)n1cnnc1-c1cccc(N(C)C(=O)N(C)c2cc3ccccn3n2)n1,3323.8205,2,False
CC(C)n1cnnc1-c1cccc(N2Cc3ccc(-c4cccnc4)cc3C2=O)n1,0.2,1,False
CC(C)n1cnnc1-c1cccc(N2Cc3ccc(OCC4CN(C)CCO4)cc3C2=O)n1,0.00631,2,False
CC(C)n1cnnc1-c1cccc(N2Cc3ccc(OC[C@@H]4CN(C)CCO4)cc3C2=O)n1,6.31,1,False
CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,6.302,6,False
CC(C)n1cnnc1-c1cccc(NC(=O)C2CCCCO2)n1,125.73,4,False
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(C)CCO2)n1,1.001,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(c3ccc(C4CC4)nc3)CCO2)n1,0.017,3,False
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(c3ccccc3)CCO2)n1,65.065,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(c3cccnc3)CCO2)n1,15.5155,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)N(C)c2ccc3ccccc3n2)n1,159.4593,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)NCc2ccccc2)n1,3512.509,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)[nH]n2)n1,0.1237,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)n[nH]2)n1,123.7,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)nn2C)n1,5005.0,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccc3cn2)n1,25.325300000000002,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccn3n2)n1,42.69265,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3ccn(C)n3)cn2)n1,32.1321,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3cnn(C)c3)cc2)n1,122.8227,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3cnn(C)c3)cn2)n1,32.1321,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1,34.58455,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cccc(-c3cnn(C)c3)c2)n1,1061.06,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccc2)n1,1420.419,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,21.7217,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cccnc2)n1,604.604,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccn[nH]2)n1,33.38335,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccnc3ccccc23)n1,1630.629,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccncc2)n1,168.7686,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccc3n2)n1,29.029,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccn23)n1,5005.0,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cncc3ccccc23)n1,5005.0,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnccn2)n1,45.19515,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn(C)c2)n1,930.4295,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn3ccccc23)n1,1824.823,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nc3ccccc3[nH]2)n1,55.4554,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncc3[nH]cnc3n2)n1,16.316300000000002,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncc3ccccc3n2)n1,32.882850000000005,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1,24.27425,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncnc3ccccc23)n1,35.5355,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nn(C)c3ccccc23)n1,129.77965,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)OCc2ccccc2)n1,762.2615,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)Oc2ccccc2)n1,5005.0,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)[C@H]2CN(c3ccc(C4CC4)nc3)CCO2)n1,17.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2[nH]c3ccccc3c2-c2ccoc2)n1,71.4714,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(-c4cnn(C)c4)cccc3[nH]2)n1,9.809800000000001,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3[nH]c2=O)c1,5000.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3[nH]c2=O)n1,2660.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3n(C)c2=O)c1,5000.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3nc2OCc2ccccc2F)n1,5000.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)C(C)(C)CC(=O)N3)n1,102.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)C(C)(C)CC(=O)N3C)n1,63.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCC(=O)N3)n1,19.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCC(=O)N3C)n1,29.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCCC(=O)N3)c1,200.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCCC(=O)N3)n1,86.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCCC(=O)N3C)n1,161.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OC(C)(C)C(=O)N3)n1,49.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OCC(=O)N3C)n1,26.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OCc2cncn2-3)n1,31.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cc(-c4cn[nH]c4)ccc3[nH]2)n1,15.815800000000001,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cc(-n4cnc(C5CC5)c4)ccc3cn2)n1,0.0055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cc(Br)ccc3cn2)n1,0.0055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cc(N4CCCCC4)ccc3cn2)n1,0.0055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cccnc4)cc3[nH]2)n1,34.28425,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cn[nH]c4)cc3[nH]2)n1,18.76875,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cnn(C5CCOCC5)c4)cc3[nH]2)n1,36.88685,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4ccncc4)c3[nH]2)n1,11.56155,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4ccsc4)c3[nH]2)n1,76.72665,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4cn[nH]c4)c3[nH]2)n1,19.46945,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(Cl)c3[nH]2)n1,44.8448,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3[nH]2)n1,20.7207,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3cc2F)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3cn2)n1,0.0055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3n2C)n1,371.8715,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3o2)n1,75.8758,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccnc3[nH]2)n1,62.61255,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3cc(-c4ccc(C(C)(C)C)cc4)cnc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3cc(Br)cnc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3cc(N4CCOCC4)cnc3c2)n1,0.055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(Cl)nc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N(C)C)nc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CC5(COC5)C4)nc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CC5CCC(C4)O5)nc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CCCCC4)nc3c2)n1,0.055,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CCN(C(C)(C)C)CC4)nc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CCOCC4)nc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(NC4CCCCC4)nc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccccc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3cccnc3c2)n1,1.0,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3nccnc3c2)n1,0.55,1,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cccc(-c3ncc[nH]3)c2)n1,85.085,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cccc(C(N)=O)c2)n1,290.29,2,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2)n1,209.055,6,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,42.082,6,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccn(C)n2)n1,24.5,4,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2cnn(C)c2)n1,57.3985,4,False
CC(C)n1cnnc1-c1cccc(NC(=O)c2nc3ccccc3s2)n1,253.253,2,False
CC(C)n1cnnc1-c1nc(C(=O)Nc2ccccn2)cs1,200.2,2,False
CC(C)n1cnnc1-c1nc(C(=O)Nc2cnn(C3COC3)c2)cs1,0.13,1,False
